Province,Poverty Incidence (%),Coping Capacity,Resilience Score,Capacity Index,Quadrant Classification
Zamboanga del Norte,37.7,0.492,0.481,0.499,"High Poverty, Low Capacity"
Basilan,33.7,0.331,0.249,0.122,"High Poverty, Low Capacity"
Cotabato City,33.3,0.559,0.555,0.634,"High Poverty, Low Capacity"
Tawi-Tawi,32.3,0.343,0.344,0.226,"High Poverty, Low Capacity"
Maguindanao,30.4,0.302,0.297,0.141,"High Poverty, Low Capacity"
Davao Oriental,29.1,0.52,0.543,0.585,"High Poverty, Low Capacity"
Sorsogon,28.4,0.624,0.583,0.722,"High Poverty, High Capacity"
Sultan Kudarat,26.4,0.436,0.462,0.428,"High Poverty, Low Capacity"
Lanao del Norte,25.2,0.487,0.491,0.504,"High Poverty, Low Capacity"
Negros Oriental,25.1,0.518,0.516,0.557,"High Poverty, Low Capacity"
Samar,24.9,0.451,0.46,0.44,"High Poverty, Low Capacity"
Eastern Samar,24.7,0.543,0.494,0.559,"High Poverty, Low Capacity"
Catanduanes,23.5,0.63,0.581,0.726,"High Poverty, High Capacity"
Agusan del Sur,23.4,0.531,0.519,0.572,"High Poverty, Low Capacity"
Sarangani,23.1,0.413,0.42,0.365,"High Poverty, Low Capacity"
Dinagat Islands,23.1,0.642,0.587,0.743,"High Poverty, High Capacity"
Romblon,23,0.551,0.535,0.607,"High Poverty, Low Capacity"
Misamis Occidental,22.6,0.54,0.572,0.632,"High Poverty, Low Capacity"
Camarines Sur,22.4,0.547,0.549,0.617,"High Poverty, Low Capacity"
Negros Occidental,22.1,0.575,0.545,0.639,"High Poverty, Low Capacity"
Northern Samar,21.8,0.429,0.433,0.393,"High Poverty, Low Capacity"
Occidental Mindoro,20.6,0.622,0.54,0.678,"High Poverty, High Capacity"
Leyte,20.6,0.541,0.535,0.597,"High Poverty, Low Capacity"
Bukidnon,20.2,0.479,0.498,0.503,"High Poverty, Low Capacity"
Zamboanga del Sur,20,0.473,0.501,0.5,"High Poverty, Low Capacity"
Davao Occidental,19.8,0.451,0.456,0.436,"High Poverty, Low Capacity"
Albay,18.1,0.599,0.56,0.676,"High Poverty, High Capacity"
Cotabato,18,0.442,0.484,0.455,"High Poverty, Low Capacity"
Zamboanga Sibugay,17.8,0.46,0.472,0.46,"High Poverty, Low Capacity"
Camarines Norte,17.7,0.556,0.528,0.605,"High Poverty, Low Capacity"
Palawan,15.8,0.577,0.516,0.613,"High Poverty, Low Capacity"
Bohol,14.8,0.566,0.576,0.661,"High Poverty, High Capacity"
Agusan del Norte,14.7,0.6,0.582,0.699,"High Poverty, High Capacity"
Oriental Mindoro,14.1,0.588,0.58,0.685,"High Poverty, High Capacity"
Antique,13.8,0.514,0.537,0.574,"High Poverty, Low Capacity"
Sulu,13,0.221,0.23,0,"High Poverty, Low Capacity"
Masbate,12.9,0.489,0.444,0.46,"High Poverty, Low Capacity"
Lanao del Sur,12.1,0.378,0.352,0.266,"High Poverty, Low Capacity"
Misamis Oriental,12,0.532,0.569,0.622,"High Poverty, Low Capacity"
Zambales,11.8,0.563,0.591,0.673,"High Poverty, High Capacity"
Cebu,11.7,0.573,0.542,0.634,"High Poverty, Low Capacity"
Pangasinan,11.4,0.561,0.603,0.682,"High Poverty, High Capacity"
Iloilo,11.1,0.602,0.588,0.706,"Low Poverty, High Capacity"
Aurora,11,0.569,0.554,0.642,"Low Poverty, Low Capacity"
Mountain Province,10.5,0.66,0.665,0.836,"Low Poverty, High Capacity"
Surigao del Sur,10.3,0.527,0.517,0.567,"Low Poverty, Low Capacity"
South Cotabato,10.1,0.565,0.574,0.658,"Low Poverty, High Capacity"
Capiz,9.8,0.588,0.633,0.737,"Low Poverty, High Capacity"
Abra,9.4,0.638,0.603,0.755,"Low Poverty, High Capacity"
Camiguin,9.4,0.651,0.639,0.802,"Low Poverty, High Capacity"
Davao del Sur,9.1,0.541,0.576,0.637,"Low Poverty, Low Capacity"
Marinduque,8.5,0.618,0.578,0.712,"Low Poverty, High Capacity"
Biliran,8.5,0.567,0.565,0.651,"Low Poverty, High Capacity"
Isabela,8.4,0.547,0.575,0.642,"Low Poverty, Low Capacity"
Nueva Vizcaya,7.3,0.615,0.593,0.723,"Low Poverty, High Capacity"
Davao del Norte,7.3,0.548,0.572,0.64,"Low Poverty, Low Capacity"
Southern Leyte,7.1,0.571,0.602,0.691,"Low Poverty, High Capacity"
Davao de Oro,7.1,0.52,0.558,0.6,"Low Poverty, Low Capacity"
Nueva Ecija,6.9,0.592,0.605,0.713,"Low Poverty, High Capacity"
Quezon,6.9,0.565,0.544,0.629,"Low Poverty, Low Capacity"
Surigao del Norte,6.8,0.595,0.55,0.663,"Low Poverty, High Capacity"
Quirino,6.7,0.557,0.568,0.645,"Low Poverty, Low Capacity"
Tarlac,6.7,0.568,0.614,0.7,"Low Poverty, High Capacity"
Bataan,6.6,0.668,0.676,0.854,"Low Poverty, High Capacity"
La Union,6.3,0.651,0.646,0.809,"Low Poverty, High Capacity"
Bulacan,6,0.552,0.623,0.693,"Low Poverty, High Capacity"
Cagayan,5.7,0.556,0.571,0.647,"Low Poverty, High Capacity"
Rizal,5.6,0.57,0.602,0.69,"Low Poverty, High Capacity"
Laguna,5.4,0.608,0.644,0.766,"Low Poverty, High Capacity"
Ilocos Sur,5.2,0.67,0.662,0.842,"Low Poverty, High Capacity"
Batangas,4.9,0.575,0.603,0.696,"Low Poverty, High Capacity"
Ifugao,4.6,0.601,0.563,0.681,"Low Poverty, High Capacity"
Cavite,4.3,0.546,0.615,0.68,"Low Poverty, High Capacity"
Apayao,4,0.582,0.561,0.661,"Low Poverty, High Capacity"
Guimaras,3.8,0.567,0.615,0.7,"Low Poverty, High Capacity"
Siquijor,3.5,0.646,0.668,0.826,"Low Poverty, High Capacity"
Batanes,3.3,0.753,0.744,1,"Low Poverty, High Capacity"
Aklan,3.1,0.585,0.599,0.701,"Low Poverty, High Capacity"
Kalinga,2.6,0.519,0.557,0.598,"Low Poverty, Low Capacity"
Benguet,2.5,0.61,0.638,0.762,"Low Poverty, High Capacity"
National Capital Region (NCR),1.1,0.675,0.697,0.881,"Low Poverty, High Capacity"
Pampanga,1,0.63,0.649,0.792,"Low Poverty, High Capacity"
Ilocos Norte,0.3,0.693,0.664,0.866,"Low Poverty, High Capacity"
