Province,Poverty Incidence (%),Hazard Exposure Index,Quadrant Classification
Zamboanga del Norte,37.7,0.472,"Low Risk, High Poverty"
Basilan,33.7,0.182,"Low Risk, High Poverty"
Tawi-Tawi,32.3,0.002,"Low Risk, High Poverty"
Maguindanao,30.4,0.577,"Low Risk, High Poverty"
Davao Oriental,29.1,0.552,"Low Risk, High Poverty"
Sorsogon,28.4,0.648,"High Risk, High Poverty"
Sultan Kudarat,26.4,0.627,"Low Risk, High Poverty"
Lanao del Norte,25.2,0.504,"Low Risk, High Poverty"
Negros Oriental,25.1,0.633,"High Risk, High Poverty"
Samar,24.9,0.622,"Low Risk, High Poverty"
Eastern Samar,24.7,0.642,"High Risk, High Poverty"
Catanduanes,23.5,0.586,"Low Risk, High Poverty"
Agusan del Sur,23.4,0.741,"High Risk, High Poverty"
Dinagat Islands,23.1,0.409,"Low Risk, High Poverty"
Sarangani,23.1,0.543,"Low Risk, High Poverty"
Romblon,23,0.481,"Low Risk, High Poverty"
Misamis Occidental,22.6,0.477,"Low Risk, High Poverty"
Camarines Sur,22.4,0.762,"High Risk, High Poverty"
Negros Occidental,22.1,0.785,"High Risk, High Poverty"
Northern Samar,21.8,0.631,"High Risk, High Poverty"
Leyte,20.6,0.831,"High Risk, High Poverty"
Occidental Mindoro,20.6,0.66,"High Risk, High Poverty"
Bukidnon,20.2,0.504,"Low Risk, High Poverty"
Zamboanga del Sur,20,0.603,"Low Risk, High Poverty"
Albay,18.1,0.73,"High Risk, High Poverty"
North Cotabato,18,0.506,"Low Risk, High Poverty"
Zamboanga Sibugay,17.8,0.359,"Low Risk, High Poverty"
Camarines Norte,17.7,0.603,"Low Risk, High Poverty"
Palawan,15.8,0.48,"Low Risk, High Poverty"
Bohol,14.8,0.629,"High Risk, High Poverty"
Agusan del Norte,14.7,0.711,"High Risk, High Poverty"
Oriental Mindoro,14.1,0.745,"High Risk, High Poverty"
Antique,13.8,0.599,"Low Risk, High Poverty"
Sulu,13,0.131,"Low Risk, High Poverty"
Masbate,12.9,0.579,"Low Risk, High Poverty"
Lanao del Sur,12.1,0.477,"Low Risk, High Poverty"
Misamis Oriental,12,0.573,"Low Risk, High Poverty"
Zambales,11.8,0.725,"High Risk, High Poverty"
Cebu,11.7,0.841,"High Risk, High Poverty"
Pangasinan,11.4,0.83,"High Risk, High Poverty"
Iloilo,11.1,0.821,"High Risk, High Poverty"
Aurora,11,0.644,"High Risk, Low Poverty"
Mountain Province,10.5,0.638,"High Risk, Low Poverty"
Surigao del Sur,10.3,0.649,"High Risk, Low Poverty"
South Cotabato,10.1,0.601,"Low Risk, Low Poverty"
Capiz,9.8,0.679,"High Risk, Low Poverty"
Abra,9.4,0.532,"Low Risk, Low Poverty"
Camiguin,9.4,0.351,"Low Risk, Low Poverty"
Davao del Sur,9.1,0.451,"Low Risk, Low Poverty"
Biliran,8.5,0.546,"Low Risk, Low Poverty"
Marinduque,8.5,0.533,"Low Risk, Low Poverty"
Isabela,8.4,0.901,"High Risk, Low Poverty"
Davao del Norte,7.3,0.53,"Low Risk, Low Poverty"
Nueva Vizcaya,7.3,0.792,"High Risk, Low Poverty"
Compostela Valley,7.1,0.584,"Low Risk, Low Poverty"
Southern Leyte,7.1,0.718,"High Risk, Low Poverty"
Nueva Ecija,6.9,0.797,"High Risk, Low Poverty"
Quezon,6.9,0.641,"High Risk, Low Poverty"
Surigao del Norte,6.8,0.605,"Low Risk, Low Poverty"
Quirino,6.7,0.581,"Low Risk, Low Poverty"
Tarlac,6.7,0.717,"High Risk, Low Poverty"
Bataan,6.6,0.677,"High Risk, Low Poverty"
La Union,6.3,0.657,"High Risk, Low Poverty"
Bulacan,6,0.783,"High Risk, Low Poverty"
Cagayan,5.7,0.871,"High Risk, Low Poverty"
Rizal,5.6,0.812,"High Risk, Low Poverty"
Laguna,5.4,0.747,"High Risk, Low Poverty"
Ilocos Sur,5.2,0.694,"High Risk, Low Poverty"
Batangas,4.9,0.583,"Low Risk, Low Poverty"
Ifugao,4.6,0.632,"High Risk, Low Poverty"
Cavite,4.3,0.789,"High Risk, Low Poverty"
Apayao,4,0.562,"Low Risk, Low Poverty"
Guimaras,3.8,0.352,"Low Risk, Low Poverty"
Siquijor,3.5,0.137,"Low Risk, Low Poverty"
Batanes,3.3,0.171,"Low Risk, Low Poverty"
Aklan,3.1,0.644,"High Risk, Low Poverty"
Kalinga,2.6,0.557,"Low Risk, Low Poverty"
Benguet,2.5,0.658,"High Risk, Low Poverty"
NCR,1.1,0.993,"High Risk, Low Poverty"
Pampanga,1,0.799,"High Risk, Low Poverty"
Ilocos Norte,0.3,0.756,"High Risk, Low Poverty"
