rank,province,index_score
1,NCR,0.993
2,Isabela,0.901
3,Cagayan,0.871
4,Cebu,0.841
5,Leyte,0.831
6,Pangasinan,0.830
7,Iloilo,0.821
8,Rizal,0.812
9,Pampanga,0.799
10,Nueva Ecija,0.797
11,Nueva Vizcaya,0.792
12,Cavite,0.789
13,Negros Occidental,0.785
14,Bulacan,0.783
15,Camarines Sur,0.762
16,Ilocos Norte,0.756
17,Laguna,0.747
18,Oriental Mindoro,0.745
19,Agusan del Sur,0.741
20,Albay,0.730
21,Zambales,0.725
22,Southern Leyte,0.718
23,Tarlac,0.717
24,Agusan del Norte,0.711
25,Ilocos Sur,0.694
26,Capiz,0.679
27,Bataan,0.677
28,Occidental Mindoro,0.660
29,Benguet,0.658
30,La Union,0.657
31,Surigao del Sur,0.649
32,Sorsogon,0.648
33,Aurora,0.644
34,Aklan,0.644
35,Eastern Samar,0.642
36,Quezon,0.641
37,Mountain Province,0.638
38,Negros Oriental,0.633
39,Ifugao,0.632
40,Northern Samar,0.631
41,Bohol,0.629
42,Sultan Kudarat,0.627
43,Samar,0.622
44,Surigao del Norte,0.605
45,Camarines Norte,0.603
46,Zamboanga del Sur,0.603
47,South Cotabato,0.601
48,Antique,0.599
49,Catanduanes,0.586
50,Compostela Valley,0.584
51,Batangas,0.583
52,Quirino,0.581
53,Masbate,0.579
54,Maguindanao,0.577
55,Misamis Oriental,0.573
56,Apayao,0.562
57,Kalinga,0.557
58,Davao Oriental,0.552
59,Biliran,0.546
60,Sarangani,0.543
61,Cotabato City,0.539
62,Marinduque,0.533
63,Abra,0.532
64,Davao del Norte,0.530
65,Cotabato,0.506
66,Lanao del Norte,0.504
67,Bukidnon,0.504
68,Romblon,0.481
69,Palawan,0.480
70,Lanao del Sur,0.477
71,Misamis Occidental,0.477
72,Zamboanga del Norte,0.472
73,Davao del Sur,0.451
74,Dinagat Islands,0.409
75,Zamboanga Sibugay,0.359
76,Guimaras,0.352
77,Camiguin,0.351
78,Davao Occidental,0.308
79,Basilan,0.182
80,Batanes,0.171
81,Siquijor,0.137
82,Sulu,0.131
83,City of Isabela,0.084
84,Tawi-Tawi,0.002
