rank,province,index_score
1,Maguindanao,0.661
2,Lanao del Sur,0.591
3,Northern Samar,0.588
4,Leyte,0.587
5,Cebu,0.586
6,Isabela,0.584
7,Cagayan,0.577
8,Sultan Kudarat,0.568
9,Agusan del Sur,0.568
10,Samar,0.567
11,Negros Occidental,0.565
12,Masbate,0.564
13,Sarangani,0.564
14,Basilan,0.561
15,Sulu,0.557
16,Camarines Sur,0.555
17,Eastern Samar,0.551
18,Iloilo,0.548
19,Pangasinan,0.541
20,Surigao del Sur,0.538
21,Albay,0.536
22,Rizal,0.536
23,Nueva Vizcaya,0.536
24,Zamboanga del Sur,0.534
25,Negros Oriental,0.533
26,Nueva Ecija,0.529
27,Oriental Mindoro,0.529
28,Occidental Mindoro,0.527
29,Cavite,0.519
30,Quezon,0.518
31,Agusan del Norte,0.516
32,Camarines Norte,0.515
33,Zambales,0.514
34,Cotabato,0.513
35,Bulacan,0.512
36,Aurora,0.512
37,Antique,0.508
38,Lanao del Norte,0.507
39,Southern Leyte,0.505
40,Zamboanga del Norte,0.503
41,Ifugao,0.502
42,Bukidnon,0.502
43,Surigao del Norte,0.501
44,Pampanga,0.500
45,Tarlac,0.496
46,NCR,0.496
47,Sorsogon,0.494
48,Bohol,0.493
49,Compostela Valley,0.489
50,Davao Oriental,0.489
51,Laguna,0.486
52,South Cotabato,0.484
53,Quirino,0.483
54,Palawan,0.483
55,Aklan,0.482
56,Kalinga,0.481
57,Apayao,0.480
58,Misamis Oriental,0.478
59,Cotabato City,0.476
60,Ilocos Norte,0.476
61,Catanduanes,0.475
62,Biliran,0.472
63,Zamboanga Sibugay,0.472
64,Capiz,0.471
65,Romblon,0.470
66,Davao Occidental,0.466
67,Davao del Norte,0.462
68,Benguet,0.461
69,Batangas,0.459
70,Marinduque,0.459
71,Ilocos Sur,0.456
72,La Union,0.455
73,Misamis Occidental,0.444
74,Bataan,0.443
75,Abra,0.442
76,Tawi-Tawi,0.438
77,Davao del Sur,0.433
78,Dinagat Islands,0.412
79,City of Isabela,0.388
80,Mountain Province,0.387
81,Guimaras,0.374
82,Camiguin,0.358
83,Siquijor,0.267
84,Batanes,0.228
