rank,province,index_score
1,Batanes,0.744
2,NCR,0.697
3,Bataan,0.676
4,Siquijor,0.668
5,Mountain Province,0.665
6,Ilocos Norte,0.664
7,Ilocos Sur,0.662
8,Pampanga,0.649
9,La Union,0.646
10,Laguna,0.644
11,Camiguin,0.639
12,Benguet,0.638
13,Capiz,0.633
14,Bulacan,0.623
15,Cavite,0.615
16,Guimaras,0.615
17,Tarlac,0.614
18,Nueva Ecija,0.605
19,Abra,0.603
20,Pangasinan,0.603
21,Batangas,0.603
22,Rizal,0.602
23,Southern Leyte,0.602
24,Aklan,0.599
25,Nueva Vizcaya,0.593
26,Zambales,0.591
27,Iloilo,0.588
28,Dinagat Islands,0.587
29,Sorsogon,0.583
30,Agusan del Norte,0.582
31,Catanduanes,0.581
32,Oriental Mindoro,0.580
33,Marinduque,0.578
34,Davao del Sur,0.576
35,Bohol,0.576
36,Isabela,0.575
37,South Cotabato,0.574
38,Misamis Occidental,0.572
39,Davao del Norte,0.572
40,Cagayan,0.571
41,Misamis Oriental,0.569
42,Quirino,0.568
43,Biliran,0.565
44,Ifugao,0.563
45,Apayao,0.561
46,Albay,0.560
47,Compostela Valley,0.558
48,Kalinga,0.557
49,Cotabato City,0.555
50,Aurora,0.554
51,Surigao del Norte,0.550
52,Camarines Sur,0.549
53,Negros Occidental,0.545
54,Quezon,0.544
55,Davao Oriental,0.543
56,Cebu,0.542
57,Occidental Mindoro,0.540
58,Antique,0.537
59,Leyte,0.535
60,Romblon,0.535
61,Camarines Norte,0.528
62,Agusan del Sur,0.519
63,Surigao del Sur,0.517
64,Negros Oriental,0.516
65,Palawan,0.516
66,Zamboanga del Sur,0.501
67,Bukidnon,0.498
68,Eastern Samar,0.494
69,Lanao del Norte,0.491
70,Cotabato,0.484
71,Zamboanga del Norte,0.481
72,Zamboanga Sibugay,0.472
73,Sultan Kudarat,0.462
74,City of Isabela,0.460
75,Samar,0.460
76,Davao Occidental,0.456
77,Masbate,0.444
78,Northern Samar,0.433
79,Sarangani,0.420
80,Lanao del Sur,0.352
81,Tawi-Tawi,0.344
82,Maguindanao,0.297
83,Basilan,0.249
84,Sulu,0.230
